ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	leftresponse	rightresponse	TrialsPerRun[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	HRun1	TrialsPerRun[Block]	SessionSelectionList.Cycle	SessionSelectionList.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSameResp	OverallAcc	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	shape.OnsetDelay	shape.OnsetTime	shape.DurationError	shape.OnsetToOnsetTime	ShapeBlock1	Top	Left	Right	CorrectResponse	StimSlide.OnsetDelay	StimSlide.OnsetTime	StimSlide.DurationError	StimSlide.RTTime	StimSlide.ACC	StimSlide.RT	StimSlide.RESP	StimSlide.CRESP	StimSlide.OnsetToOnsetTime	Fixation.OnsetDelay	Fixation.OnsetTime	Fixation.DurationError	Fixation.OnsetToOnsetTime	face.OnsetDelay	face.OnsetTime	face.DurationError	face.OnsetToOnsetTime	FaceBlock1	ShapeBlock2	FaceBlock2	ShapeBlock3	FaceBlock3	Block
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0	1	InitialTR	4	1	1	ReadyList	22	21789	-23	23766	0																																																1
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0	2	InitialTR	3	1	2	ReadyList	8	23775	-9	25766	0																																																2
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0	3	InitialTR	2	1	3	ReadyList	20	25787	-21	27766	0																																																3
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0	4	InitialTR	1	1	4	ReadyList	20	27787	-21	29766	0																																																4
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0		ShapePromptPROC				SessionSelectionList						3	2		36	2	1	1	0	0	0	0	0	46	29813	1	13	59	29826	-60	0																												5
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0		TrialsPROC				SessionSelectionList						3	2			2	2	2	1	0	0	1	100	52	34837	3	13						oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp	2	18	32785	-1	33580	1	795	2	2	2052	65	34850	-66	0										6
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0		TrialsPROC				SessionSelectionList						3	2			2	3	3	2	0	0	1	100	52	37849	3	14						circle.bmp	oval-horizontal.bmp	circle.bmp	3	12	35797	-1	36420	1	623	3	3	2052	66	37863	-67	0										7
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0		TrialsPROC				SessionSelectionList						3	2			2	4	4	3	0	0	2	100	39	40848	2	13						oval-vertical.bmp	circle.bmp	oval-vertical.bmp	3	12	38809	-1	39379	1	570	3	3	2039	52	40861	-53	0										8
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0		TrialsPROC				SessionSelectionList						3	2			2	5	5	4	0	0	1	100	39	43860	2	13						circle.bmp	circle.bmp	oval-vertical.bmp	2	12	41821	-1	42495	1	674	2	2	2039	52	43873	-53	0										9
EMOTION080112	792564_fncb	2	1	1	-1502140685	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	95	7555	-999999	0	33	8582	-999999	0	13	147178	2	147165	13	26	147191	-999999	147181	0		TrialsPROC				SessionSelectionList						3	2			2	6	6	5	0	0	1	100	39	46872	2	13						oval-vertical.bmp	oval-horizontal.bmp	oval-vertical.bmp	3	12	44833	-1	45414	1	581	3	3	2039	52	46885	-53	0										10
