ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	leftresponse	rightresponse	TrialsPerRun[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	ReadyList	Procedure	Stimulus	ReadyList.Cycle	ReadyList.Sample	Running	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	SyncSlide.OnsetToOnsetTime	SessionSelectionList	RunNumberFilterValue	HRun1	TrialsPerRun[Block]	SessionSelectionList.Cycle	SessionSelectionList.Sample	RunTrialNumber	TotalRespGreater200	ConsecRTLess200	ConsecNonResp	ConsecSameResp	OverallAcc	ExperimenterWindow.OnsetDelay	ExperimenterWindow.OnsetTime	ExperimenterWindow.DurationError	ExperimenterWindow.OnsetToOnsetTime	shape.OnsetDelay	shape.OnsetTime	shape.DurationError	shape.OnsetToOnsetTime	ShapeBlock1	Top	Left	Right	CorrectResponse	StimSlide.OnsetDelay	StimSlide.OnsetTime	StimSlide.DurationError	StimSlide.RTTime	StimSlide.ACC	StimSlide.RT	StimSlide.RESP	StimSlide.CRESP	StimSlide.OnsetToOnsetTime	Fixation.OnsetDelay	Fixation.OnsetTime	Fixation.DurationError	Fixation.OnsetToOnsetTime	face.OnsetDelay	face.OnsetTime	face.DurationError	face.OnsetToOnsetTime	FaceBlock1	ShapeBlock2	FaceBlock2	ShapeBlock3	FaceBlock3	Block
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0	1	InitialTR	4	1	1	ReadyList	13	52726	-14	54712	0																																																1
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0	2	InitialTR	3	1	2	ReadyList	12	54725	-13	56712	0																																																2
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0	3	InitialTR	2	1	3	ReadyList	12	56725	-13	58712	0																																																3
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0	4	InitialTR	1	1	4	ReadyList	11	58724	-12	60712	0																																																4
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0		ShapePromptPROC				SessionSelectionList						2	1	1	36	2	1	1	0	0	0	0	0	50	60763	3	27	77	60790	-78	0																												5
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0		TrialsPROC				SessionSelectionList						2	1	2		2	2	2	1	0	0	1	100	53	65788	2	13					1	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp	2	22	63735	-1	64713	1	978	2	2	2053	66	65801	-67	0										6
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0		TrialsPROC				SessionSelectionList						2	1	2		2	3	3	2	0	0	1	100	53	68800	1	13					2	oval-vertical.bmp	oval-horizontal.bmp	oval-vertical.bmp	3	12	66747	-1	67773	1	1026	3	3	2053	66	68813	-67	0										7
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0		TrialsPROC				SessionSelectionList						2	1	2		2	4	4	3	0	0	1	100	39	71812	2	13					3	circle.bmp	circle.bmp	oval-vertical.bmp	2	26	69773	-1	70553	1	780	2	2	2039	52	71825	-53	0										8
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0		TrialsPROC				SessionSelectionList						2	1	2		2	5	5	4	0	0	1	100	39	74824	2	13					4	oval-vertical.bmp	circle.bmp	oval-vertical.bmp	3	12	72785	-1	73409	1	624	3	3	2039	52	74837	-53	0										9
EMOTION080112	792564_fncb	1	1	1	-2096318951	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.305	7	234	Verdana	2	3	36	EMOTION Stimuli\	93	8851	-999999	0	32	40158	-999999	0	12	178195	2	178183	13	25	178208	-999999	178198	0		TrialsPROC				SessionSelectionList						2	1	2		2	6	6	5	0	0	2	100	39	77836	1	13					5	circle.bmp	oval-horizontal.bmp	circle.bmp	3	12	75797	-1	76508	1	711	3	3	2039	52	77849	-53	0										10
